YEAR_ID,PRODUCTLINE,AVERAGE_SALES_AMT
2003,Classic Cars,4055.45
2003,Motorcycles,3402.71
2003,Planes,3211.68
2003,Ships,3021.62
2003,Trains,2600.08
2003,Trucks and Buses,3809.12
2003,Vintage Cars,2962.95
2004,Classic Cars,4006.76
2004,Motorcycles,3417.96
2004,Planes,3123.68
2004,Ships,2954.78
2004,Trains,3095.6
2004,Trucks and Buses,3689.2
2004,Vintage Cars,3210.93
2005,Classic Cars,4180.63
2005,Motorcycles,3884.96
2005,Planes,3450.16
2005,Ships,3394.41
2005,Trains,2828.08
2005,Trucks and Buses,3553.44
2005,Vintage Cars,3334.48
